timestamp,open,high,low,close,volume
2020-01-01,0,0,0,9018.3245787114,0
2019-12-01,0,0,0,9014.7842313552,0
2019-11-29,0,0,0,8790.7193101883,0
2019-10-31,0,0,0,8445.6907915385,0
2019-09-30,0,0,0,8425.0894610317,0
2019-08-30,0,0,0,8177.0356957626,0
2019-07-31,0,0,0,8282.7350736158,0
2019-06-28,0,0,0,8022.2407879694,0
2019-05-31,0,0,0,7657.880979662,0
2019-04-30,0,0,0,8087.6998528691,0
2019-03-29,0,0,0,7804.174652558,0
2019-02-28,0,0,0,7594.3248377394,0
2019-01-31,0,0,0,7320.4226767196,0
2018-12-31,0,0,0,6777.3388447049,0
2018-11-30,0,0,0,7426.309653144,0
2018-10-31,0,0,0,7341.9543530701,0
2018-09-28,0,0,0,7721.4410596939,0
2018-08-31,0,0,0,7676.2157832176,0
2018-07-31,0,0,0,7528.3124283441,0
2018-06-29,0,0,0,7305.3241870702,0
2018-05-31,0,0,0,7296.1600629442,0
2018-04-30,0,0,0,7012.2881671648,0
2018-03-30,0,0,0,6793.4175386189,0
2018-02-28,0,0,0,7011.6857342027,0
2018-01-31,0,0,0,7182.4998992951,0
2017-12-29,0,0,0,7054.8759655687,0
2017-11-30,0,0,0,7023.4417446741,0
2017-10-31,0,0,0,7012.6534361105,0
2017-09-29,0,0,0,6781.8028764806,0
2017-08-31,0,0,0,6573.9277775448,0
2017-07-31,0,0,0,6608.7757688408,0
2017-06-30,0,0,0,6687.05234401,0
2017-05-31,0,0,0,6763.7242520189,0
2017-04-28,0,0,0,6830.8774249227,0
2017-03-31,0,0,0,6869.3322959533,0
2017-02-28,0,0,0,6852.8869889249,0
2017-01-31,0,0,0,6526.9867733689,0
2016-12-30,0,0,0,6536.1451048951,0
2016-11-30,0,0,0,6338.0176286286,0
2016-10-31,0,0,0,6030.8209689767,0
2016-09-30,0,0,0,6005.4810739593,0
2016-08-31,0,0,0,6011.364145583,0
2016-07-29,0,0,0,5991.9010304852,0
2016-06-30,0,0,0,5786.9243724726,0
2016-05-31,0,0,0,5835.6855979946,0
2016-04-29,0,0,0,5637.4348042599,0
2016-03-31,0,0,0,5577.9764519814,0
2016-02-29,0,0,0,5458.2372451558,0
2016-01-29,0,0,0,5521.6641589204,0
2015-12-31,0,0,0,5856.6134155886,0
2015-11-30,0,0,0,6121.6214682318,0
2015-10-30,0,0,0,5908.4142218345,0
2015-09-30,0,0,0,5389.593047712,0
2015-08-31,0,0,0,5575.0633363069,0
2015-07-31,0,0,0,6092.5100182149,0
2015-06-30,0,0,0,5895.3344999327,0
2015-05-29,0,0,0,6123.0054644809,0
2015-04-30,0,0,0,5969.6040663456,0
2015-03-31,0,0,0,6086.8284825801,0
2015-02-27,0,0,0,5931.9170613996,0
2015-01-30,0,0,0,5546.9410515136,0
2014-12-31,0,0,0,5273.5983471074,0
2014-11-28,0,0,0,5210.077955477,0
2014-10-31,0,0,0,5072.744550028,0
2014-09-30,0,0,0,4996.253365004,0
2014-08-29,0,0,0,4934.5992845727,0
2014-07-31,0,0,0,4736.5058261129,0
2014-06-30,0,0,0,4704.9594683415,0
2014-05-30,0,0,0,4641.3329909765,0
2014-04-30,0,0,0,4470.501947209,0
2014-03-31,0,0,0,4452.6188920351,0
2014-02-28,0,0,0,4434.0027530247,0
2014-01-31,0,0,0,4319.6848583717,0
2013-12-31,0,0,0,4396.1193487426,0
2013-11-29,0,0,0,4358.5711130742,0
2013-10-31,0,0,0,4279.2530173683,0
2013-09-30,0,0,0,4137.5164558834,0
2013-08-30,0,0,0,4029.8781779661,0
2013-07-31,0,0,0,4090.9649518652,0
2013-06-28,0,0,0,3969.1717249328,0
2013-05-31,0,0,0,4073.7265312404,0
2013-04-30,0,0,0,4016.0443566763,0
2013-03-29,0,0,0,3996.6942342202,0
2013-02-28,0,0,0,3828.8680544926,0
2013-01-31,0,0,0,3674.4155748565,0
2012-12-31,0,0,0,3598.3170417519,0
2012-11-30,0,0,0,3587.663457836,0
2012-10-31,0,0,0,3548.0674538859,0
2012-09-28,0,0,0,3598.6809768238,0
2012-08-31,0,0,0,3580.2918953313,0
2012-07-31,0,0,0,3568.0891201822,0
2012-06-29,0,0,0,3420.0529058749,0
2012-05-31,0,0,0,3332.6909385113,0
2012-04-30,0,0,0,3401.0572421085,0
2012-03-30,0,0,0,3411.933743067,0
2012-02-29,0,0,0,3371.3441909337,0
2012-01-31,0,0,0,3270.0695187166,0
2011-12-30,0,0,0,3144.162037037,0
2011-11-30,0,0,0,3032.4107142857,0
2011-10-31,0,0,0,3016.0391533627,0
2011-09-30,0,0,0,2825.2722384047,0
2011-08-31,0,0,0,2878.1987620836,0
2011-07-29,0,0,0,3090.6653239808,0
2011-06-30,0,0,0,3126.6961081976,0
2011-05-31,0,0,0,3197.1108023619,0
2011-04-29,0,0,0,3170.5051323609,0
2011-03-31,0,0,0,3175.4091999436,0
2011-02-28,0,0,0,3290.2788036788,0
2011-01-31,0,0,0,3205.0032868308,0
2010-12-31,0,0,0,3204.8744957418,0
2010-11-30,0,0,0,3077.5702950466,0
2010-10-29,0,0,0,2926.4204789904,0
2010-09-30,0,0,0,2886.4697681245,0
2010-08-31,0,0,0,2834.8849306431,0
2010-07-30,0,0,0,2862.1472909802,0
2010-06-30,0,0,0,2823.6518966645,0
2010-05-31,0,0,0,2904.7261943452,0
2010-04-30,0,0,0,2971.2766117506,0
2010-03-31,0,0,0,2922.3752406338,0
2010-02-26,0,0,0,2725.2806103734,0
2010-01-29,0,0,0,2641.7661063415,0
2009-12-31,0,0,0,2665.125968316,0
2009-11-30,0,0,0,2499.2043182727,0
2009-10-30,0,0,0,2447.3815834183,0
2009-09-30,0,0,0,2504.6160153047,0
2009-08-31,0,0,0,2459.2288904396,0
2009-07-31,0,0,0,2373.0422278339,0
2009-06-30,0,0,0,2221.5760598504,0
2009-05-29,0,0,0,2211.0070621469,0
2009-04-30,0,0,0,2168.4731150269,0
2009-03-31,0,0,0,1945.3334340307,0
2009-02-27,0,0,0,1889.4033149171,0
2009-01-30,0,0,0,2080.2864949258,0
2008-12-31,0,0,0,2089.8883401331,0
2008-11-28,0,0,0,2228.2174940898,0
2008-10-31,0,0,0,2373.1924587588,0
2008-09-30,0,0,0,2640.232376904,0
2008-08-29,0,0,0,2881.2867170994,0
2008-07-31,0,0,0,2747.9444765019,0
2008-06-30,0,0,0,2788.1495588142,0
2008-05-30,0,0,0,3067.7681327161,0
2008-04-30,0,0,0,3005.0432165952,0
2008-03-31,0,0,0,2827.2868020305,0
2008-02-29,0,0,0,2962.8345522831,0
2008-01-31,0,0,0,3044.6336206897,0
2007-12-31,0,0,0,3353.3488658946,0
2007-11-30,0,0,0,3387.3610826328,0
2007-10-31,0,0,0,3569.3324118867,0
2007-09-28,0,0,0,3512.3864273696,0
2007-08-31,0,0,0,3508.5301240185,0
2007-07-31,0,0,0,3497.0927171688,0
2007-06-29,0,0,0,3613.33111653,0
2007-05-31,0,0,0,3662.3225039031,0
2007-04-30,0,0,0,3509.5059013269,0
2007-03-30,0,0,0,3432.079089275,0
2007-02-28,0,0,0,3401.5865093769,0
2007-01-31,0,0,0,3470.9837198587,0
2006-12-29,0,0,0,3385.0977717144,0
2006-11-30,0,0,0,3305.5011707833,0
2006-10-31,0,0,0,3344.8691632717,0
2006-09-29,0,0,0,3248.2084253708,0
2006-08-31,0,0,0,3176.9400187442,0
2006-07-31,0,0,0,3104.2307692308,0
2006-06-30,0,0,0,3078.5246286161,0
2006-05-31,0,0,0,3072.3926954893,0
2006-04-28,0,0,0,3223.8964534516,0
2006-03-31,0,0,0,3260.1972435421,0
2006-02-28,0,0,0,3239.1675050302,0
2006-01-31,0,0,0,3184.1722235943,0
2005-12-30,0,0,0,3124.9324666554,0
2005-11-30,0,0,0,3071.2163881585,0
2005-10-31,0,0,0,2922.7699883158,0
2005-09-30,0,0,0,2984.1247401247,0
2005-08-31,0,0,0,2833.5340356564,0
2005-07-29,0,0,0,2858.762980056,0
2005-06-30,0,0,0,2771.2694343368,0
2005-05-31,0,0,0,2698.3164052978,0
2005-04-29,0,0,0,2532.7351821642,0
2005-03-31,0,0,0,2569.5378799568,0
2005-02-28,0,0,0,2568.9565677966,0
2005-01-31,0,0,0,2521.2225032575,0
2004-12-31,0,0,0,2481.0544945063,0
2004-11-30,0,0,0,2438.9453477868,0
2004-10-29,0,0,0,2405.3345841151,0
2004-09-30,0,0,0,2416.0733826843,0
2004-08-31,0,0,0,2418.73727422,0
2004-07-30,0,0,0,2439.0350220448,0
2004-06-30,0,0,0,2487.1484855947,0
2004-05-31,0,0,0,2433.8887977694,0
2004-04-30,0,0,0,2452.704664942,0
2004-03-31,0,0,0,2435.3012830924,0
2004-02-27,0,0,0,2416.2663143566,0
2004-01-30,0,0,0,2380.4011553274,0
2003-12-31,0,0,0,2319.5947878595,0
2003-11-28,0,0,0,2289.4831610537,0
2003-10-31,0,0,0,2335.0030216697,0
2003-09-30,0,0,0,2190.1698841699,0
2003-08-29,0,0,0,2310.1575591986,0
2003-07-31,0,0,0,2210.2466387677,0
2003-06-30,0,0,0,2111.3401614443,0
2003-05-30,0,0,0,2028.5326317576,0
2003-04-30,0,0,0,2021.2467578929,0
2003-03-31,0,0,0,1903.1886982846,0
2003-02-28,0,0,0,1926.9933308633,0
2003-01-31,0,0,0,1965.2961931291,0
2002-12-31,0,0,0,2079.4302591464,0
2002-11-29,0,0,0,2306.4004827517,0
2002-10-31,0,0,0,2197.2275527725,0
2002-09-30,0,0,0,2051.4543244886,0
2002-08-30,0,0,0,2316.8058242542,0
2002-07-31,0,0,0,2323.5908718788,0
2002-06-28,0,0,0,2501.2964083939,0
2002-05-31,0,0,0,2829.8713136729,0
2002-04-30,0,0,0,2926.2554184728,0
2002-03-29,0,0,0,3127.0316804408,0
2002-02-28,0,0,0,3001.9714581655,0
2002-01-31,0,0,0,3065.4509438359,0
2001-12-31,0,0,0,3047.2455627949,0
2001-11-30,0,0,0,3008.9138200491,0
2001-10-31,0,0,0,2828.1327109036,0
2001-09-28,0,0,0,2743.9008573313,0
2001-08-31,0,0,0,3003.3278472679,0
2001-07-31,0,0,0,3282.3201644211,0
2001-06-29,0,0,0,3427.0776470588,0
2001-05-31,0,0,0,3550.7746811526,0
2001-04-30,0,0,0,3425.144560693,0
2001-03-30,0,0,0,3225.3038233955,0
2001-02-28,0,0,0,3286.0671722644,0
2001-01-31,0,0,0,3538.3742790002,0
2000-12-29,0,0,0,3448.856930588,0
2000-11-30,0,0,0,3665.831231369,0
2000-10-31,0,0,0,4008.878680801,0
2000-09-29,0,0,0,3916.5949983026,0
2000-08-31,0,0,0,4113.2252982219,0
2000-07-31,0,0,0,3822.6946754509,0
2000-06-30,0,0,0,3823.8979313242,0
